epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
10;0.528202007646146;0.73913044;0.8325388397071306;0.8602941176470588;0.75;0.73913044;nan;1.0;0.0;0.73913044;0.8325388397071306;0.8602941176470588;0.4996861478556757;0.75;0.73913044;nan;1.0;0.0
11;0.5049233255179032;0.73913044;0.8477112955291836;0.875;0.75;0.73913044;nan;1.0;0.0;0.73913044;0.8477112955291836;0.875;0.4914967676867609;0.75;0.73913044;nan;1.0;0.0
12;0.5219914265300917;0.73913044;0.8570673296094823;0.8848039215686274;0.75;0.73913044;nan;1.0;0.0;0.73913044;0.8570673296094823;0.8848039215686274;0.4802101176718007;0.75;0.73913044;nan;1.0;0.0
13;0.5135902995648591;0.73913044;0.8676918399700657;0.892156862745098;0.75;0.73913044;nan;1.0;0.0;0.73913044;0.8676918399700657;0.892156862745098;0.47045292543328326;0.75;0.73913044;nan;1.0;0.0
14;0.47552242356797925;0.73913044;0.887471147996732;0.9068627450980392;0.8333333333333334;0.73913044;nan;1.0;0.0;0.73913044;0.887471147996732;0.9068627450980392;0.4563745882200158;0.8333333333333334;0.73913044;nan;1.0;0.0
15;0.5048488585845284;0.73913044;0.8875898804998268;0.9068627450980391;0.8333333333333334;0.73913044;nan;1.0;0.0;0.73913044;0.8875898804998268;0.9068627450980391;0.43844404687052185;0.8333333333333334;0.73913044;nan;1.0;0.0
16;0.46574326572210895;0.76086956;0.8911867233718258;0.911764705882353;0.8333333333333334;0.75555557;1.0;1.0;0.083333336;0.76086956;0.8911867233718258;0.911764705882353;0.42078030886857404;0.8333333333333334;0.75555557;1.0;1.0;0.083333336
17;0.4903496788895648;0.7826087;0.8937201498682478;0.9166666666666667;0.8333333333333334;0.77272725;1.0;1.0;0.16666667;0.7826087;0.8937201498682478;0.9166666666666667;0.4036716015442558;0.8333333333333334;0.77272725;1.0;1.0;0.16666667
18;0.4282053249037784;0.8043478;0.8958036244800952;0.9166666666666667;0.8333333333333334;0.7906977;1.0;1.0;0.25;0.8043478;0.8958036244800952;0.9166666666666667;0.38006973914478137;0.8333333333333334;0.7906977;1.0;1.0;0.25
19;0.4638885726099429;0.84782606;0.8979913855494353;0.9191176470588235;0.8333333333333334;0.8292683;1.0;1.0;0.41666666;0.84782606;0.8979913855494353;0.9191176470588235;0.3590509619401849;0.8333333333333334;0.8292683;1.0;1.0;0.41666666
20;0.4092355603757112;0.84782606;0.8916195531907608;0.9191176470588235;0.8333333333333334;0.8292683;1.0;1.0;0.41666666;0.84782606;0.8916195531907608;0.9191176470588235;0.34681287019149115;0.8333333333333334;0.8292683;1.0;1.0;0.41666666
21;0.3567369424778482;0.8695652;0.899633870028607;0.9191176470588236;0.8333333333333334;0.85;1.0;1.0;0.5;0.8695652;0.899633870028607;0.9191176470588236;0.327982634305954;0.8333333333333334;0.85;1.0;1.0;0.5
22;0.3834551689417466;0.95652175;0.910290227201992;0.9240196078431372;0.8333333333333334;0.9444444;1.0;1.0;0.8333333;0.95652175;0.910290227201992;0.9240196078431372;0.3104366802650949;0.8333333333333334;0.9444444;1.0;1.0;0.8333333
23;0.32875842244728753;0.95652175;0.910290227201992;0.9240196078431372;0.8333333333333334;0.9444444;1.0;1.0;0.8333333;0.95652175;0.910290227201992;0.9240196078431372;0.2999385089977928;0.8333333333333334;0.9444444;1.0;1.0;0.8333333
24;0.4070650468701902;0.95652175;0.9075884154831525;0.9215686274509803;0.8333333333333334;0.9444444;1.0;1.0;0.8333333;0.95652175;0.9075884154831525;0.9215686274509803;0.2927007558553115;0.8333333333333334;0.9444444;1.0;1.0;0.8333333
25;0.4507698935011159;0.95652175;0.9091990597408555;0.926470588235294;0.8333333333333334;0.9444444;1.0;1.0;0.8333333;0.95652175;0.9091990597408555;0.926470588235294;0.28446670977965643;0.8333333333333334;0.9444444;1.0;1.0;0.8333333
